flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Primary-EU-to-US,6826,264,0,6562,0.0,10239000,94949.01,0.8627,19,429.0002,94686.0108,47545.9447,47727.0056,90025.0002,94008.0108,27318.1266
Secondary-EU-to-US,6826,422,0,6404,0.0,10239000,94792.01,0.8641,19,272.0002,94371.0108,47347.0503,47491.0055,89717.0103,93525.0107,27227.0403
EU-to-ASIA,6826,412,0,6414,0.0,10239000,94927.0,0.8629,19,847.0002,94516.0044,47571.8978,47805.0002,89620.0002,93560.0044,27104.2353
Intra-EU,5461,5461,0,0,0.0,8191500,82691.05,0.7925,19,40.0002,77231.0527,38632.0665,38635.0264,73364.05,76475.0522,22285.3521
