flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Primary-EU-to-US,6826,395,0,6431,0.0,10239000,94864.01,0.8635,15,454.0002,94470.0101,47392.6577,47327.0051,89899.0096,93754.0061,27242.6185
Secondary-EU-to-US,6826,1024,0,5802,0.0,10239000,94972.01,0.8625,17,587.0002,94321.0061,50484.9251,51051.0032,87822.0057,92771.0002,24708.6099
EU-to-ASIA,6826,650,0,6176,0.0,10239000,94927.01,0.8629,15,967.0002,94503.0065,48854.0402,49524.0036,87909.0064,93069.0064,25627.4874
Intra-EU,5461,5461,0,0,0.0,8191500,82691.05,0.7925,16,40.0002,77231.0527,38630.7482,38635.0264,73364.05,76460.0522,22285.2368
