flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,2730,2730,0,0,0.0,4095000,42274.03,0.7749,75,49.0002,39545.0265,19826.946,19819.0133,37581.0251,39167.0262,11400.2015
InterISD-ETHZ-Anapaya,1365,1365,0,0,0.0,2047500,137562.01,0.1191,67,182.0003,136198.0136,68169.2707,68200.0069,129381.0129,134766.0134,39290.5607
Transatlantic-CMU-TUBerlin,2048,1840,0,208,0.0,3072000,565958.03,0.0434,73,7508.0007,564119.0344,405539.0321,410238.0255,548910.0335,561137.0342,100436.3068
Transpacific-KAIST-MIT,1706,1706,0,0,0.0,2559000,267852.02,0.0764,61,442.0002,266147.0173,133256.305,133539.0087,252942.0164,263669.0002,76785.8885
EU-Asia-Sorbonne-UTokyo,1706,1706,0,0,0.0,2559000,262527.02,0.078,82,477.0002,260822.0166,130670.7226,130874.0084,248157.0158,258289.0164,75206.2201
