flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,2730,2730,0,0,0.0,4095000,67324.04,0.4866,74,49.0002,64595.0428,37827.511,45169.0297,62661.0415,64217.0426,20218.4881
InterISD-ETHZ-Anapaya,1365,1365,0,0,0.0,2047500,311982.03,0.0525,52,182.0003,310618.0332,238736.9529,242280.0266,303716.0326,309356.0331,49554.6968
Transatlantic-CMU-TUBerlin,2048,2048,0,0,0.0,3072000,178802.02,0.1374,81,217.0005,176755.0206,88468.4738,88528.0105,167847.0196,174990.0204,50983.6179
Transpacific-KAIST-MIT,1706,1706,0,0,0.0,2559000,258702.02,0.0791,55,442.0002,256997.0166,128753.7373,128849.0084,244182.0158,254669.0002,74139.1163
EU-Asia-Sorbonne-UTokyo,1706,1706,0,0,0.0,2559000,407911.03,0.0502,82,102691.0114,406206.0303,263131.3235,263418.0219,392131.0295,403703.0302,82935.6357
