flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,2730,2730,0,0,0.0,4095000,452864.01,0.0723,70,724.0002,450135.0111,218477.3384,210829.0134,428401.0097,445842.0108,130610.194
InterISD-ETHZ-Anapaya,1365,1365,0,0,0.0,2047500,314192.03,0.0521,60,182.0003,312828.0333,239541.6819,242790.0266,305926.0326,311481.0331,50224.852
Transatlantic-CMU-TUBerlin,2048,2048,0,0,0.0,3072000,178802.02,0.1374,73,217.0005,176755.0206,88466.1892,88528.0105,167847.0196,174990.0204,50985.0166
Transpacific-KAIST-MIT,1706,1706,0,0,0.0,2559000,258702.02,0.0791,62,442.0002,256997.0166,128753.7373,128849.0084,244182.0158,254669.0002,74139.1163
EU-Asia-Sorbonne-UTokyo,1706,1706,0,0,0.0,2559000,394591.03,0.0519,78,45691.0053,392886.0303,247901.6878,251198.0002,378931.0294,390023.0301,87664.0653
