flow_name,latency_ms
Wave1-KIT-to-USC,76530.0057
Wave1-KIT-to-USC,77629.0089
Wave1-KIT-to-USC,78052.009
Wave1-KIT-to-USC,79152.0091
Wave1-KIT-to-USC,80253.0084
Wave1-KIT-to-USC,80704.0002
Wave1-KIT-to-USC,81699.0002
Wave1-KIT-to-USC,82283.0095
Wave1-KIT-to-USC,83383.0096
Wave1-KIT-to-USC,83806.0096
Wave1-KIT-to-USC,84991.0098
Wave1-KIT-to-USC,85329.0098
Wave1-KIT-to-USC,86429.0099
Wave1-KIT-to-USC,86852.01
Wave1-KIT-to-USC,87952.0101
Wave1-KIT-to-USC,88375.0102
Wave1-KIT-to-USC,89052.0102
Wave1-KIT-to-USC,89475.0103
Wave1-KIT-to-USC,89983.0103
Wave1-KIT-to-USC,90490.0104
Wave1-KIT-to-USC,91083.0105
Wave1-KIT-to-USC,91506.0105
Wave1-KIT-to-USC,92606.0106
Wave1-KIT-to-USC,93029.0107
Wave1-KIT-to-USC,93706.0108
Wave1-KIT-to-USC,94044.0108
Wave1-KIT-to-USC,94482.0072
Wave1-KIT-to-USC,95144.0109
Wave1-KIT-to-USC,95567.011
Wave1-KIT-to-USC,96667.0111
Wave1-KIT-to-USC,97090.0111
Wave1-KIT-to-USC,97627.0002
Wave1-KIT-to-USC,98190.0113
Wave1-KIT-to-USC,98698.0113
Wave1-KIT-to-USC,99141.0076
Wave1-KIT-to-USC,99798.0114
Wave1-KIT-to-USC,100221.0115
Wave1-KIT-to-USC,101321.0116
Wave1-KIT-to-USC,101744.0117
Wave1-KIT-to-USC,102759.0118
Wave1-KIT-to-USC,103202.0079
Wave1-KIT-to-USC,103859.0119
Wave1-KIT-to-USC,104282.012
Wave1-KIT-to-USC,105382.0121
Wave1-KIT-to-USC,105805.0121
Wave1-KIT-to-USC,106905.0123
Wave1-KIT-to-USC,107413.0123
Wave1-KIT-to-USC,107920.0124
Wave1-KIT-to-USC,108513.0124
Wave1-KIT-to-USC,108936.0125
Wave1-KIT-to-USC,110036.0126
Wave1-KIT-to-USC,110459.0127
Wave1-KIT-to-USC,111136.0127
Wave1-KIT-to-USC,111474.0128
Wave1-KIT-to-USC,111922.0086
Wave1-KIT-to-USC,112574.0129
Wave1-KIT-to-USC,112997.0129
Wave1-KIT-to-USC,114097.0131
Wave1-TUB-to-MIT,357.0002
Wave1-TUB-to-MIT,781.0003
Wave1-TUB-to-MIT,1120.0003
Wave1-TUB-to-MIT,1544.0003
Wave1-TUB-to-MIT,1968.0004
Wave1-TUB-to-MIT,2222.0004
Wave1-TUB-to-MIT,2646.0005
Wave1-TUB-to-MIT,3070.0005
Wave1-TUB-to-MIT,3324.0005
Wave1-TUB-to-MIT,3748.0006
Wave1-TUB-to-MIT,4088.0003
Wave1-TUB-to-MIT,4427.0002
Wave1-TUB-to-MIT,4850.0007
Wave1-TUB-to-MIT,5189.0008
Wave1-TUB-to-MIT,5528.0008
Wave1-TUB-to-MIT,5952.0008
Wave1-TUB-to-MIT,6291.0009
Wave1-TUB-to-MIT,6630.0009
Wave1-TUB-to-MIT,6969.001
Wave1-TUB-to-MIT,7393.001
Wave1-TUB-to-MIT,8071.0011
Wave1-TUB-to-MIT,8495.0011
Wave1-TUB-to-MIT,9173.0012
Wave1-TUB-to-MIT,9851.0013
Wave1-TUB-to-MIT,10275.0013
Wave1-TUB-to-MIT,11038.0014
Wave1-TUB-to-MIT,12140.0015
Wave1-TUB-to-MIT,12903.0016
Wave1-TUB-to-MIT,13243.0013
Wave1-TUB-to-MIT,14005.0017
Wave1-TUB-to-MIT,14769.0014
Wave1-TUB-to-MIT,15107.0019
Wave1-TUB-to-MIT,15785.002
Wave1-TUB-to-MIT,16887.0021
Wave1-TUB-to-MIT,17651.001
Wave1-TUB-to-MIT,18667.0023
Wave1-TUB-to-MIT,19515.0024
Wave1-TUB-to-MIT,19769.0024
Wave1-TUB-to-MIT,20617.0025
Wave1-TUB-to-MIT,21634.0026
Wave1-TUB-to-MIT,22398.0022
Wave1-TUB-to-MIT,23499.0028
Wave1-TUB-to-MIT,24177.0029
Wave1-TUB-to-MIT,24516.0029
Wave1-TUB-to-MIT,25279.003
Wave1-TUB-to-MIT,26381.0032
