flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Primary-EU-to-US,6826,1088,0,5738,0.0,10239000,94949.01,0.8627,14,259.0002,93862.0107,47092.0375,47145.0054,89326.0101,93022.0106,27070.7095
Secondary-EU-to-US,6826,617,0,6209,0.0,10239000,94937.01,0.8628,15,587.0002,94321.0061,47541.2068,47529.0032,89401.0059,93277.0061,26979.2074
EU-to-ASIA,6826,693,0,6133,0.0,10239000,94927.01,0.8629,15,967.0002,94235.0069,47467.0482,47301.0036,89829.0066,93401.0069,27081.8292
Intra-EU,5461,5461,0,0,0.0,8191500,82691.05,0.7925,11,40.0002,77231.0527,38631.5179,38635.0264,73364.05,76460.0522,22285.2766
