flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Primary-EU-to-US,6826,425,0,6401,0.0,10239000,94949.01,0.8627,0,344.0002,94525.0108,47455.6219,47392.0055,89956.0103,93679.0107,27270.1984
Secondary-EU-to-US,6826,679,0,6147,0.0,10239000,94877.01,0.8633,0,272.0002,94199.0108,47243.7593,47193.0055,89643.0002,93359.0002,27144.5877
EU-to-ASIA,6826,616,0,6210,0.0,10239000,94807.01,0.864,0,457.0002,94192.0061,47440.1215,47549.0032,89426.0002,93298.0061,27049.5066
Intra-EU,5461,5461,0,0,0.0,8191500,82690.05,0.7925,0,40.0002,77230.0527,38631.9626,38635.0264,73363.05,76474.0521,22285.2186
